"FullPath","CreationTime","IsDirectory"
"D:\Files\13-10 Coding Projects\PreserveDateCreated\.git\objects\f1","25/06/2025 16:29:43","True"
"D:\Files\13-10 Coding Projects\PreserveDateCreated\.git\objects\f7","25/06/2025 16:25:32","True"
"D:\Files\13-10 Coding Projects\PreserveDateCreated\.git\objects\fc","25/06/2025 16:29:43","True"
"D:\Files\13-10 Coding Projects\PreserveDateCreated\.git\objects\info","25/06/2025 16:22:58","True"
"D:\Files\13-10 Coding Projects\PreserveDateCreated\.git\objects\pack","25/06/2025 16:22:58","True"
"D:\Files\13-10 Coding Projects\PreserveDateCreated\.git\objects\0c\35518ce8bef74099d056729e7c4498ba9faa28","26/06/2025 08:11:01","False"
"D:\Files\13-10 Coding Projects\PreserveDateCreated\.git\objects\2e\dfd2fd1ef32050b62145db1b974f4452c4b8ed","25/06/2025 16:23:34","False"
"D:\Files\13-10 Coding Projects\PreserveDateCreated\.git\objects\38\c21b495f42b88347343c3410925ade79a7fce8","25/06/2025 16:29:43","False"
"D:\Files\13-10 Coding Projects\PreserveDateCreated\.git\objects\4b\825dc642cb6eb9a060e54bf8d69288fbee4904","25/06/2025 16:23:34","False"
"D:\Files\13-10 Coding Projects\PreserveDateCreated\.git\objects\4c\e0b3ec31e09031d331cca2d768d4e9da09697a","26/06/2025 08:11:19","False"
"D:\Files\13-10 Coding Projects\PreserveDateCreated\.git\objects\95\060abb409bc4b646a39a8bd6ffdaa5b73b559a","25/06/2025 16:25:22","False"
"D:\Files\13-10 Coding Projects\PreserveDateCreated\.git\objects\9c\42ae877d6657b07ad7d02e7f87e17cf2b4a6a6","26/06/2025 08:11:00","False"
"D:\Files\13-10 Coding Projects\PreserveDateCreated\.git\objects\ae\f95d9d814708a978e6dc69df5cd8450ae15d0e","25/06/2025 16:25:32","False"
"D:\Files\13-10 Coding Projects\PreserveDateCreated\.git\objects\bb\e59f8cfd1e9f69ebf3abf2f81329cbcd29cc94","26/06/2025 08:11:11","False"
"D:\Files\13-10 Coding Projects\PreserveDateCreated\.git\objects\c5\855a4b00169c2348c5f865226e979b0949a052","25/06/2025 16:27:17","False"
"D:\Files\13-10 Coding Projects\PreserveDateCreated\.git\objects\ca\a01a5648f6e4761b3552b8e29b9d7f77477e8d","26/06/2025 08:11:14","False"
"D:\Files\13-10 Coding Projects\PreserveDateCreated\.git\objects\ca\c69cbf8dd8d1ca7c6d7a2a50b0181164bc87cf","26/06/2025 08:11:19","False"
"D:\Files\13-10 Coding Projects\PreserveDateCreated\.git\objects\e0\a3cdedc6ce49f2fd6c51006741d7fce7dba69f","26/06/2025 08:11:11","False"
"D:\Files\13-10 Coding Projects\PreserveDateCreated\.git\objects\e6\9de29bb2d1d6434b8b29ae775ad8c2e48c5391","25/06/2025 16:27:18","False"
"D:\Files\13-10 Coding Projects\PreserveDateCreated\.git\objects\f1\3f51556efabe074d5b255eabcdd3ec33520c55","25/06/2025 16:29:43","False"
"D:\Files\13-10 Coding Projects\PreserveDateCreated\.git\objects\f7\0191fa98df0c27f0794f2750e24119ecd294f6","25/06/2025 16:25:32","False"
"D:\Files\13-10 Coding Projects\PreserveDateCreated\.git\objects\fc\7e66df01a93ab5ffd1618ef6bb5e488f017c07","25/06/2025 16:29:43","False"
"D:\Files\13-10 Coding Projects\PreserveDateCreated\.git\refs\heads","25/06/2025 16:22:58","True"
"D:\Files\13-10 Coding Projects\PreserveDateCreated\.git\refs\remotes","26/06/2025 08:11:29","True"
"D:\Files\13-10 Coding Projects\PreserveDateCreated\.git\refs\tags","25/06/2025 16:22:58","True"
"D:\Files\13-10 Coding Projects\PreserveDateCreated\.git\refs\heads\develop","25/06/2025 16:23:34","False"
"D:\Files\13-10 Coding Projects\PreserveDateCreated\.git\refs\heads\master","26/06/2025 08:11:19","False"
"D:\Files\13-10 Coding Projects\PreserveDateCreated\.git\refs\remotes\origin","26/06/2025 08:11:29","True"
"D:\Files\13-10 Coding Projects\PreserveDateCreated\.git\refs\remotes\origin\master","26/06/2025 08:11:29","False"
"D:\Files\13-10 Coding Projects\PreserveDateCreated\TestDestinationFiles\TestDestinationFiles","26/06/2025 15:51:18","True"
"D:\Files\13-10 Coding Projects\PreserveDateCreated\TestDestinationFiles\TestSourceFiles","26/06/2025 15:51:18","True"
"D:\Files\13-10 Coding Projects\PreserveDateCreated\TestDestinationFiles\aa.txt","25/06/2025 16:26:41","False"
"D:\Files\13-10 Coding Projects\PreserveDateCreated\TestDestinationFiles\Alf Prøysens barnesanger - Musevisa - NRK TV.mp4","26/06/2025 15:51:06","False"
"D:\Files\13-10 Coding Projects\PreserveDateCreated\TestDestinationFiles\Alf Prøysens barnesanger Bolla Pinnsvin - NRK TV.mp4","26/06/2025 15:51:06","False"
"D:\Files\13-10 Coding Projects\PreserveDateCreated\TestDestinationFiles\Alf Prøysens barnesanger Marte og Baldrian - NRK TV.mp4","26/06/2025 15:51:06","False"
"D:\Files\13-10 Coding Projects\PreserveDateCreated\TestDestinationFiles\CopyFiles.ps1","26/06/2025 15:47:49","False"
"D:\Files\13-10 Coding Projects\PreserveDateCreated\TestDestinationFiles\creation_dates.csv","25/06/2025 16:30:23","False"
"D:\Files\13-10 Coding Projects\PreserveDateCreated\TestDestinationFiles\DoAll.ps1","26/06/2025 15:51:43","False"
"D:\Files\13-10 Coding Projects\PreserveDateCreated\TestDestinationFiles\ExportCreationTimes.ps1","25/06/2025 16:24:34","False"
"D:\Files\13-10 Coding Projects\PreserveDateCreated\TestDestinationFiles\RestoreCreationTimes.ps1","25/06/2025 16:25:50","False"
"D:\Files\13-10 Coding Projects\PreserveDateCreated\TestDestinationFiles\TestDestinationFiles\TestDestinationFiles","26/06/2025 15:53:25","True"
"D:\Files\13-10 Coding Projects\PreserveDateCreated\TestDestinationFiles\TestDestinationFiles\TestSourceFiles","26/06/2025 15:53:25","True"
"D:\Files\13-10 Coding Projects\PreserveDateCreated\TestDestinationFiles\TestDestinationFiles\aa.txt","25/06/2025 16:26:41","False"
"D:\Files\13-10 Coding Projects\PreserveDateCreated\TestDestinationFiles\TestDestinationFiles\Alf Prøysens barnesanger - Musevisa - NRK TV.mp4","26/06/2025 15:51:06","False"
"D:\Files\13-10 Coding Projects\PreserveDateCreated\TestDestinationFiles\TestDestinationFiles\Alf Prøysens barnesanger Bolla Pinnsvin - NRK TV.mp4","26/06/2025 15:51:06","False"
"D:\Files\13-10 Coding Projects\PreserveDateCreated\TestDestinationFiles\TestDestinationFiles\Alf Prøysens barnesanger Marte og Baldrian - NRK TV.mp4","26/06/2025 15:51:06","False"
"D:\Files\13-10 Coding Projects\PreserveDateCreated\TestDestinationFiles\TestDestinationFiles\CopyFiles.ps1","26/06/2025 15:47:49","False"
"D:\Files\13-10 Coding Projects\PreserveDateCreated\TestDestinationFiles\TestDestinationFiles\creation_dates.csv","25/06/2025 16:30:23","False"
"D:\Files\13-10 Coding Projects\PreserveDateCreated\TestDestinationFiles\TestDestinationFiles\ExportCreationTimes.ps1","25/06/2025 16:24:34","False"
"D:\Files\13-10 Coding Projects\PreserveDateCreated\TestDestinationFiles\TestDestinationFiles\RestoreCreationTimes.ps1","25/06/2025 16:25:50","False"
"D:\Files\13-10 Coding Projects\PreserveDateCreated\TestDestinationFiles\TestDestinationFiles\TestDestinationFiles\aa.txt","25/06/2025 16:26:41","False"
"D:\Files\13-10 Coding Projects\PreserveDateCreated\TestDestinationFiles\TestDestinationFiles\TestDestinationFiles\Alf Prøysens barnesanger - Musevisa - NRK TV.mp4","26/06/2025 15:51:06","False"
"D:\Files\13-10 Coding Projects\PreserveDateCreated\TestDestinationFiles\TestDestinationFiles\TestDestinationFiles\Alf Prøysens barnesanger Bolla Pinnsvin - NRK TV.mp4","26/06/2025 15:51:06","False"
"D:\Files\13-10 Coding Projects\PreserveDateCreated\TestDestinationFiles\TestDestinationFiles\TestDestinationFiles\Alf Prøysens barnesanger Marte og Baldrian - NRK TV.mp4","26/06/2025 15:51:06","False"
"D:\Files\13-10 Coding Projects\PreserveDateCreated\TestDestinationFiles\TestDestinationFiles\TestSourceFiles\aa.txt","25/06/2025 16:26:41","False"
"D:\Files\13-10 Coding Projects\PreserveDateCreated\TestDestinationFiles\TestSourceFiles\aa.txt","25/06/2025 16:26:41","False"
"D:\Files\13-10 Coding Projects\PreserveDateCreated\TestSourceFiles\aa.txt","25/06/2025 16:26:41","False"
